id;name_ar;name_en;code;status
1;Strategist;Concrete deposit;Salad;50911
2;Toys Highway;6th generation back-end Markets;primary bypassing distributed;39010
3;attitude Specialist 1080p;teal optical back-end;eco-centric salmon evolve;78467
4;implement;hacking;static Awesome web-enabled;48079
5;Unbranded;global Plastic;sensor platforms;98927
6;Pennsylvania;Jordanian Dinar viral North Dakota;Buckinghamshire;61696
7;solid state auxiliary;backing up Universal;Graphical User Interface Wooden;40994
8;Money Market Account;SAS firewall;backing up initiative;54847
9;back-end;Industrial;Kids Palau Legacy;12266
10;Exclusive Home Loan Account;parse Gloves;expedite;12864
