id;name_ar;name_en;code;status
1;Rand backing up Illinois;ubiquitous Designer;Orchestrator Viaduct Kenyan Shilling;71340
2;mint green navigating Bulgaria;Plastic;Bedfordshire Kuwaiti Dinar;38881
3;Markets alarm capacitor;synthesize;Michigan deposit;33117
4;Sleek Granite Pizza Turkey COM;Borders Future-proofed;Metal Toys;18588
5;Camp;Buckinghamshire blue;implement;43973
6;Intelligent Cotton Bacon Sleek Fresh Bacon well-modulated;Maine;Checking Account niches Palestinian Territory;2763
7;Programmable;input;Accountability Accounts;26713
8;lavender;TCP mint green Brooks;budgetary management Guyana;15192
9;magenta Direct;4th generation Developer haptic;methodical turquoise Lead;39372
10;Inverse brand next-generation;Rufiyaa connecting;deposit Sleek cross-platform;32537
