id;name_ar;name_en;code;status
1;secondary Direct multi-byte;Locks red reboot;Wallis and Futuna methodologies;94956
2;Light Personal Loan Account invoice;HTTP;viral circuit Philippine Peso;22778
3;compress index Borders;Credit Card Account;Quality Texas Ball;36616
4;clear-thinking;budgetary management Sleek Soft Keyboard Marketing;Practical;98058
5;Buckinghamshire;JSON;Gloves cross-platform Officer;14773
6;Hat;primary;Malaysian Ringgit iterate bus;34521
7;24/365;deposit FTP;installation Chair Concrete;90576
8;Cambridgeshire;Tools Brand;salmon payment Toys;54551
9;Fantastic Granite Health;magenta index;connecting;85809
10;JSON interface;standardization;Upgradable quantify;52166
